iter	MultiClass
137	0.933482213
138	0.9320261302
139	0.9314533466
140	0.9312221512
141	0.9308660284
142	0.9305509154
143	0.9304108491
144	0.929947727
145	0.9297545041
146	0.9293468352
147	0.9290502802
148	0.9288474969
149	0.9286667364
150	0.9281436856
151	0.9278000167
152	0.9271215272
153	0.9265257929
154	0.9260375079
155	0.92521502
156	0.9250677173
157	0.924929239
158	0.9244046118
159	0.9230549733
160	0.9225921635
161	0.9217345761
162	0.9215914257
163	0.9213386806
164	0.9210494368
165	0.9202758848
166	0.9198310632
167	0.9188501657
168	0.9183197251
169	0.9175453091
170	0.9175129732
171	0.9167006561
172	0.9158829411
173	0.9154267823
174	0.9142350219
175	0.9138530778
176	0.9130957673
177	0.9125063538
178	0.9119872611
179	0.9118344177
180	0.9107475257
181	0.9101164572
182	0.9096160673
183	0.9086658156
184	0.9080685519
185	0.9075925067
186	0.9063617932
187	0.9058971568
188	0.9054363078
189	0.9048701477
190	0.9042065406
191	0.9034332118
192	0.9029710191
193	0.9027603249
194	0.9022593598
195	0.901059509
196	0.9005630856
197	0.9001695541
198	0.8992143038
199	0.8976017898
200	0.8966515893
201	0.895844297
202	0.8948199547
203	0.8942143362
204	0.8933456803
205	0.8924403877
206	0.8916724186
207	0.8907874682
208	0.8893132011
209	0.8886281882
210	0.88787074
211	0.8873142945
212	0.8863788766
213	0.8856464343
214	0.8849731669
215	0.8841515595
216	0.8826128769
217	0.8819308287
218	0.8803767108
219	0.8789532916
220	0.8782919415
221	0.8776589559
222	0.8767474606
223	0.8758474966
224	0.8748585977
225	0.8739549001
226	0.8730643041
227	0.8719839939
228	0.8713981388
229	0.8709481203
230	0.8696631666
231	0.8690647194
232	0.8685633658
233	0.8678353998
234	0.8669751629
235	0.8663437103
236	0.8657612019
237	0.8651177104
238	0.8644988425
239	0.8639127335
240	0.8633221803
241	0.862248993
242	0.861515615
243	0.8608460576
244	0.8600121877
245	0.8593733304
246	0.8587879278
247	0.8577178513
248	0.857280713
249	0.8566690069
250	0.8556401393
251	0.8548208753
252	0.8543313776
253	0.8534189029
254	0.8522283885
255	0.8515178709
256	0.8508698868
257	0.8505451067
258	0.8498851307
259	0.8495176756
260	0.8485577881
261	0.8479923524
262	0.8474763723
263	0.8469485727
264	0.8463594741
265	0.8457394125
266	0.8447951751
267	0.8440974878
268	0.8434078278
269	0.8431359913
270	0.8425399077
271	0.8420208753
272	0.8412145322
273	0.8407804624
274	0.8398617008
275	0.8393760581
276	0.8381620657
277	0.8375799389
278	0.8370831914
279	0.836534106
280	0.8360064374
281	0.8357123411
282	0.8348757384
283	0.8339500293
284	0.8334881002
285	0.8330487786
286	0.8323369324
287	0.8316102519
288	0.8313309289
289	0.8306072785
290	0.8298839975
291	0.8292486615
292	0.828715579
293	0.8281245185
294	0.8274682658
295	0.827069866
296	0.8259782511
297	0.8252001321
298	0.8242660255
299	0.8236965574
300	0.823062992
301	0.8227728291
302	0.8223009503
303	0.8218373554
304	0.821145781
305	0.8207190318
306	0.8199543315
307	0.8196648245
308	0.819014501
309	0.8183702903
310	0.8179471457
311	0.8172901867
312	0.8169034147
313	0.8162507371
314	0.8159136574
315	0.8153137027
316	0.8151041595
317	0.8147143263
318	0.8142104074
319	0.8136130793
320	0.8132416806
321	0.81257544
322	0.8120290098
323	0.8112105111
324	0.8105996879
325	0.8100030143
326	0.8094499461
327	0.8091634562
328	0.8086466552
329	0.8082676603
330	0.8080016971
331	0.8076350293
332	0.8071316217
333	0.8066066503
334	0.8060459745
335	0.8057062169
336	0.8051551555
337	0.804518469
338	0.8039062545
339	0.8034299989
340	0.8028311591
341	0.8024025463
342	0.8020527631
343	0.8018609266
344	0.8013885939
345	0.8010943938
346	0.8003490362
347	0.8001522489
348	0.7996908365
349	0.7989055896
350	0.7985108013
351	0.7980187374
352	0.7975434774
353	0.7971810152
354	0.796965123
355	0.7964126958
356	0.7960566365
357	0.7955726371
358	0.7950729808
359	0.7947082182
360	0.7944933702
361	0.793868188
362	0.7936948178
363	0.7934582993
364	0.7929603763
365	0.7924678448
366	0.7920194875
367	0.7915141579
368	0.7912536905
369	0.7907976694
370	0.7904909416
371	0.7899597484
372	0.7893817758
373	0.7887958986
374	0.7883163567
375	0.7879700506
376	0.7874865165
377	0.787169357
378	0.7869629946
379	0.7867366933
380	0.7863765418
381	0.7859364119
382	0.7857479577
383	0.7852749384
384	0.7849508448
385	0.7844918001
386	0.7838283178
387	0.783393722
388	0.7830375017
389	0.7828861829
390	0.7826604138
391	0.7823406474
392	0.7821216377
393	0.7818385523
394	0.7814274336
395	0.7810937049
396	0.7806548509
397	0.7802098485
398	0.7798736092
399	0.7793452803
400	0.7789523353
401	0.778769884
402	0.7785648645
403	0.7782889233
404	0.7778951866
405	0.7776718885
406	0.7772936538
407	0.7768755924
408	0.7766800058
409	0.7763958956
410	0.7760319917
411	0.7757346113
412	0.7754349548
413	0.7749969953
414	0.7745771707
415	0.7743947026
416	0.7741728843
417	0.7735225935
418	0.7731332416
419	0.7730003602
420	0.7727010179
421	0.7725309453
422	0.771915308
423	0.7714363257
424	0.7710454204
425	0.7705862572
426	0.7700953859
427	0.769721563
428	0.7692693582
429	0.7686253283
430	0.768178154
431	0.7677350022
432	0.7674255523
433	0.7671037533
434	0.7667598991
435	0.7666419847
436	0.766464718
437	0.7660569495
438	0.7655396022
439	0.7653367458
440	0.7648899672
441	0.7646265046
442	0.7644723409
443	0.7642664823
444	0.7638135947
445	0.7632772442
446	0.7630154334
447	0.7625935196
448	0.7623320282
449	0.7620811519
450	0.7617318241
451	0.7611646811
452	0.7607679514
453	0.7605310263
454	0.7603601707
455	0.7601775958
456	0.7598088996
457	0.7595606748
458	0.7593416496
459	0.7591567031
460	0.7588493017
461	0.7584592286
462	0.7580588005
463	0.7576460984
464	0.757402674
465	0.7571614212
466	0.7569160967
467	0.7567151956
468	0.7564676251
469	0.7561947673
470	0.7556863323
471	0.7554506715
472	0.7552171237
473	0.7547062627
474	0.7544294598
475	0.7542005096
476	0.7540593135
477	0.7536117989
478	0.7533270571
479	0.7530561843
480	0.7526734207
481	0.7525052593
482	0.7523701211
483	0.7517323126
484	0.7514507311
485	0.7510948189
486	0.7507602406
487	0.7503145337
488	0.7501186577
489	0.749837792
490	0.7493814301
491	0.7489674742
492	0.748797956
493	0.748570716
494	0.7482315002
495	0.7479982248
496	0.7476389088
497	0.7473876448
498	0.7472640271
499	0.7466809867
500	0.7464673044
501	0.7461722531
502	0.7460027405
503	0.7457396731
504	0.7454066849
505	0.74504902
506	0.7448291542
507	0.7446209963
508	0.7442932791
509	0.7440687321
510	0.7438277048
511	0.7436014758
512	0.7433542343
513	0.74322291
514	0.7428434589
515	0.7424159382
516	0.7421954005
517	0.7420242405
518	0.7418097185
519	0.7414642204
520	0.7410072881
521	0.7405974641
522	0.7404072296
523	0.7401724407
524	0.7399566221
525	0.7396763225
526	0.7392600252
527	0.7388735889
528	0.7386217849
529	0.7383011447
530	0.7381523257
531	0.7377719334
532	0.737491151
533	0.737319354
534	0.7370401772
535	0.7368874779
536	0.7366169174
537	0.736227682
538	0.7361148704
539	0.7358969734
540	0.7356729559
541	0.7355655657
542	0.7352428448
543	0.7349486852
544	0.7345533418
545	0.7342951126
546	0.7340724779
547	0.7338028883
548	0.7334164876
549	0.733026441
550	0.7328866392
551	0.7326935635
552	0.732366003
553	0.7321036587
554	0.7317818506
555	0.7314849177
556	0.7311105731
557	0.7307714644
558	0.7306664422
559	0.7305076737
560	0.730291775
561	0.7300879149
562	0.729959087
563	0.729735112
564	0.7294636671
565	0.7292519686
566	0.7289319934
567	0.7285587154
568	0.7283814664
569	0.7280037725
570	0.7275981383
571	0.7274247637
572	0.7272508081
573	0.7270573634
574	0.7268054471
575	0.7264678042
576	0.7261855856
577	0.7259841994
578	0.7257288538
579	0.7254901966
580	0.7253782345
581	0.7250462943
582	0.7247729453
583	0.7245744125
584	0.724311826
585	0.7241760446
586	0.7238407338
587	0.7236379969
588	0.7233086793
589	0.7231434402
590	0.7228403522
591	0.7226418839
592	0.7224756512
593	0.7223633418
594	0.7220984477
595	0.7219164064
596	0.7216983102
597	0.7214019275
598	0.7211558497
599	0.7210237767
600	0.7206866239
601	0.7204072423
602	0.7202566144
603	0.7201016167
604	0.7198199472
605	0.7194531001
606	0.7192770107
607	0.7191273432
608	0.7190215043
609	0.7187995059
610	0.7185737566
611	0.7182306803
612	0.7181050956
613	0.7180101861
614	0.7178622754
615	0.7175478195
616	0.7173507409
617	0.7171712661
618	0.7169627261
619	0.7167957529
620	0.7166872973
621	0.7165663946
622	0.7162312935
623	0.7159320703
624	0.7157629241
625	0.715382994
626	0.7152066848
627	0.7150498631
628	0.7148111428
629	0.7145145806
630	0.7143462702
631	0.7141595313
632	0.7140187334
633	0.7137853544
634	0.7134839483
635	0.7133123447
636	0.7128915988
637	0.7127750761
638	0.712421098
639	0.7122431086
640	0.7119818125
641	0.7118013372
642	0.7114844245
643	0.7113255436
644	0.7112031922
645	0.7110520555
646	0.7109391133
647	0.7106122804
648	0.7103498688
649	0.7100042508
650	0.7097762559
651	0.7095472053
652	0.7094340927
653	0.7092806783
654	0.709078595
655	0.7089772401
656	0.7088167165
657	0.7086345397
658	0.7082334112
659	0.7079398931
660	0.7078351045
661	0.7076246804
662	0.7074177677
663	0.7071398932
664	0.7069007129
665	0.7065984034
666	0.7064512869
667	0.7062850012
668	0.7059840945
669	0.7057019241
670	0.7054788844
671	0.705252728
672	0.7049693962
673	0.7047713849
674	0.7046059401
675	0.704311505
676	0.7040989475
677	0.7039717944
678	0.7037370153
679	0.7034909088
680	0.7033633387
681	0.7032164672
682	0.7028832682
683	0.7027327362
684	0.7024707553
685	0.7022189208
686	0.7020562738
687	0.7017741012
688	0.7016836311
689	0.7013089572
690	0.701044405
691	0.7007945113
692	0.700576381
693	0.7003006262
694	0.7001318155
695	0.6998650319
696	0.6997374794
697	0.6995994453
698	0.6992886069
699	0.6990934173
700	0.6988680615
701	0.6987041651
702	0.6983904327
703	0.6982414239
704	0.6981375905
705	0.69782098
706	0.6976553035
707	0.6975144988
708	0.6972294357
709	0.6970205886
710	0.6967856248
711	0.6966020669
712	0.6963882072
713	0.696106018
714	0.6958368665
715	0.6957201614
716	0.6955200924
717	0.6952207979
718	0.694980289
719	0.6948496197
720	0.6947389043
721	0.6944734129
722	0.6942880037
723	0.6939507389
724	0.6937619441
725	0.693625027
726	0.693480011
727	0.6933439192
728	0.6931446277
729	0.6929677606
730	0.692815748
731	0.6926394444
732	0.6924230126
733	0.6922422668
734	0.6921180816
735	0.6919232774
736	0.6917706629
737	0.6916140121
738	0.6913753639
739	0.6912206176
740	0.6909330381
741	0.6906834901
742	0.6904231949
743	0.6902155228
744	0.6900625463
745	0.6899199266
746	0.6898160233
747	0.68972069
748	0.6895336872
749	0.6892945921
750	0.6891304328
751	0.6889025497
752	0.6887307731
753	0.6884767137
754	0.6881804599
755	0.6879224947
756	0.6876380278
757	0.6873467203
758	0.6872085405
759	0.6870103337
760	0.686737417
761	0.6865081346
762	0.6862688374
763	0.6860006266
764	0.6858189904
765	0.6857182614
766	0.6856173988
767	0.6854473484
768	0.6853285454
769	0.6850687915
770	0.6848485221
771	0.6847269654
772	0.684461067
773	0.6842322821
774	0.6840852155
775	0.6839651685
776	0.6837339365
777	0.6834884344
778	0.6833763451
779	0.6830218132
780	0.6827776374
781	0.6825403601
782	0.6824029789
783	0.6822332394
784	0.6820026957
785	0.6817966741
786	0.6817227926
787	0.6816270786
788	0.6813942578
789	0.6811969187
790	0.680968566
791	0.6808274695
792	0.680671647
793	0.6805575217
794	0.6804011409
795	0.6802935785
796	0.6799819456
797	0.6798757751
798	0.6797815475
799	0.6796360726
